,CityName,TownName,VilCode,VilName,NesatAndHaitang,縣市行政區,household,maxWind,gust,life_period,center_lowest_pa,center_stronger_wind,strom_7_R,strom_10_R,warming_times,typhoon_1_size,typhoon_2_size
1,台北市,松山區,6300100-002,莊敬里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
2,台北市,松山區,6300100-003,東榮里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
3,台北市,松山區,6300100-004,三民里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
4,台北市,松山區,6300100-005,新益里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
5,台北市,松山區,6300100-006,富錦里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
6,台北市,松山區,6300100-007,新東里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
7,台北市,松山區,6300100-008,富泰里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
8,台北市,松山區,6300100-009,介壽里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
9,台北市,松山區,6300100-010,精忠里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
10,台北市,松山區,6300100-011,東光里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
11,台北市,松山區,6300100-012,龍田里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
12,台北市,松山區,6300100-013,東昌里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
13,台北市,松山區,6300100-014,東勢里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
14,台北市,松山區,6300100-015,中華里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
15,台北市,松山區,6300100-016,民有里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
16,台北市,松山區,6300100-017,民福里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
17,台北市,松山區,6300100-018,慈祐里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
18,台北市,松山區,6300100-019,安平里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
19,台北市,松山區,6300100-020,鵬程里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
20,台北市,松山區,6300100-021,自強里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
21,台北市,松山區,6300100-022,吉祥里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
22,台北市,松山區,6300100-024,新聚里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
23,台北市,松山區,6300100-025,復盛里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
24,台北市,松山區,6300100-026,中正里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
25,台北市,松山區,6300100-027,中崙里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
26,台北市,松山區,6300100-028,美仁里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
27,台北市,松山區,6300100-029,吉仁里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
28,台北市,松山區,6300100-030,敦化里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
29,台北市,松山區,6300100-031,復源里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
30,台北市,松山區,6300100-032,復建里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
31,台北市,松山區,6300100-033,復勢里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
32,台北市,松山區,6300100-034,福成里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
33,台北市,松山區,6300100-035,松基里,0,台北市松山區,2435.424242,12.9,33.76666667,7,955,40,220,80,0,5,2
34,台北市,信義區,6300200-001,西村里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
35,台北市,信義區,6300200-002,正和里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
36,台北市,信義區,6300200-003,興隆里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
37,台北市,信義區,6300200-004,中興里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
38,台北市,信義區,6300200-005,新仁里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
39,台北市,信義區,6300200-006,興雅里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
40,台北市,信義區,6300200-007,敦厚里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
41,台北市,信義區,6300200-008,廣居里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
42,台北市,信義區,6300200-009,安康里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
43,台北市,信義區,6300200-010,六藝里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
44,台北市,信義區,6300200-011,雅祥里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
45,台北市,信義區,6300200-012,五常里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
46,台北市,信義區,6300200-013,五全里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
47,台北市,信義區,6300200-014,永吉里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
48,台北市,信義區,6300200-015,長春里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
49,台北市,信義區,6300200-016,四育里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
50,台北市,信義區,6300200-017,四維里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
51,台北市,信義區,6300200-018,永春里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
52,台北市,信義區,6300200-019,富臺里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
53,台北市,信義區,6300200-020,國業里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
54,台北市,信義區,6300200-021,松隆里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
55,台北市,信義區,6300200-022,松友里,0,台北市信義區,2181.195122,12.9,33.76666667,7,955,40,220,80,0,5,2
