,CityName,TownName,VilCode,VilName,Megi,縣市行政區,household,maxWind,gust,life_period,center_lowest_pa,center_stronger_wind,strom_7_R,strom_10_R,warming_times,typhoon_1_size,typhoon_2_size
1,台北市,松山區,6300100-002,莊敬里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
2,台北市,松山區,6300100-003,東榮里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
3,台北市,松山區,6300100-004,三民里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
4,台北市,松山區,6300100-005,新益里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
5,台北市,松山區,6300100-006,富錦里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
6,台北市,松山區,6300100-007,新東里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
7,台北市,松山區,6300100-008,富泰里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
8,台北市,松山區,6300100-009,介壽里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
9,台北市,松山區,6300100-010,精忠里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
10,台北市,松山區,6300100-011,東光里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
11,台北市,松山區,6300100-012,龍田里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
12,台北市,松山區,6300100-013,東昌里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
13,台北市,松山區,6300100-014,東勢里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
14,台北市,松山區,6300100-015,中華里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
15,台北市,松山區,6300100-016,民有里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
16,台北市,松山區,6300100-017,民福里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
17,台北市,松山區,6300100-018,慈祐里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
18,台北市,松山區,6300100-019,安平里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
19,台北市,松山區,6300100-020,鵬程里,0,台北市松山區,2435.424242,12.6,37.96666667,5,940,45,250,100,23,10,0
